rtt,cwnd
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.5
8,2.0
9,2.0
10,2.0
11,2.0
12,2.5
13,2.9
14,1.45
15,2.0
16,2.0
17,2.0
18,2.5
19,1.25
20,2.0
21,2.0
22,2.0
23,2.0
24,2.5
25,2.5
26,1.25
27,2.05
28,2.5378048780487803
29,2.5378048780487803
30,2.0
31,2.5
32,2.5
33,1.25
34,2.0
35,2.0
36,2.0
37,2.5
38,2.5
39,1.25
40,2.05
41,2.5378048780487803
42,2.93184620433422
43,3.272928215567168
44,3.272928215567168
45,3.272928215567168
46,2.0
47,2.5
48,2.9
49,2.9
50,1.45
51,2.0
52,2.5
53,2.9
54,3.2448275862068963
55,3.5530103704789475
56,1.7765051852394738
57,2.0
58,2.0
59,2.0
60,2.5
61,2.9
62,3.2448275862068963
63,3.2448275862068963
64,3.2448275862068963
65,2.0
66,2.5
67,2.5
68,1.25
69,2.0
70,2.5
71,2.0
72,2.0
73,2.0
74,2.5
75,1.25
76,2.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,2.0
89,2.0
90,2.5
91,2.9
92,3.2448275862068963
93,3.5530103704789475
94,3.5530103704789475
95,1.7765051852394738
96,2.0
97,2.0
98,2.0
99,2.5
100,2.9
101,1.45
102,2.0
103,2.0
104,2.0
105,2.0
106,2.0
107,2.0
108,2.0
109,2.0
110,2.0
111,2.0
112,2.0
113,2.5
114,2.9
115,3.2448275862068963
116,3.2448275862068963
117,2.0
118,2.0
119,2.5
120,1.25
121,2.0
122,2.5
123,2.0
124,2.0
125,2.0
126,2.0
127,2.5
128,2.9
129,3.2448275862068963
130,3.5530103704789475
131,3.8344618428159674
132,4.095254632258779
133,4.339439692724345
134,4.339439692724345
135,4.339439692724345
136,2.0
137,2.0
138,2.5
139,2.9
140,3.2448275862068963
141,1.6224137931034481
142,2.0
143,2.0
144,2.0
145,2.5
146,2.5
147,2.0
148,2.0
149,2.0
150,2.5
151,2.9
152,3.2448275862068963
153,3.5530103704789475
154,3.8344618428159674
155,3.8344618428159674
156,3.8344618428159674
157,2.0
158,2.5
159,1.25
160,2.0
161,2.5
162,2.9
163,3.2448275862068963
164,3.5530103704789475
165,3.5530103704789475
166,2.0
167,2.0
168,2.0
169,2.0
170,2.0
171,2.0
172,2.0
173,2.0
174,2.0
175,2.0
176,2.0
177,2.0
178,2.0
179,2.0
180,2.0
181,2.0
182,2.0
183,2.0
184,2.0
185,2.0
186,2.5
187,1.25
188,2.0
189,2.0
190,2.0
191,2.0
192,2.0
193,2.0
194,2.0
195,2.5
196,2.9
197,1.45
198,2.0
199,2.0
200,2.0
201,2.0
202,2.0
203,2.5
204,2.9
205,3.2448275862068963
206,3.5530103704789475
207,3.5530103704789475
208,1.7765051852394738
209,2.0
210,2.0
